N,q,q_b,eps_ref,nu,dA,cc_pct
48,0.05,0.010000000000000002,0.1,0.17663659972550955,7.782588336222902,1.041925737230297
48,0.05,0.010000000000000002,0.12,0.18023086081054734,9.319321710043702,1.041925737230297
48,0.1,0.020000000000000004,0.04,0.2002706517711295,2.989139303260391,1.0398268913352273
48,0.1,0.020000000000000004,0.06,0.20610050858731793,4.467675511360586,1.0398268913352273
48,0.1,0.020000000000000004,0.08,0.21048505222486302,5.943174303858243,1.0398268913352273
48,0.1,0.020000000000000004,0.1,0.21433075669291154,7.415721076572946,1.0398268913352273
48,0.1,0.020000000000000004,0.12,0.2179403796246514,8.88538859479942,1.0398268913352273
48,0.15,0.030000000000000006,0.04,0.23350455274519752,2.8537077048783277,1.0355153410726492
48,0.15,0.030000000000000006,0.06,0.23995561503410007,4.263857441446321,1.0355153410726492
48,0.15,0.030000000000000006,0.08,0.24460547560353021,5.6732760874171895,1.0355153410726492
48,0.15,0.030000000000000006,0.1,0.24856940822290866,7.082061413808808,1.0355153410726492
48,0.15,0.030000000000000006,0.12,0.252218535554975,8.490321617130398,1.0355153410726492
48,0.2,0.04000000000000001,0.04,0.2638491526884807,2.7300012043834814,1.0294504508174473
48,0.2,0.04000000000000001,0.06,0.27083020573456784,4.077862423633157,1.0294504508174473
48,0.2,0.04000000000000001,0.08,0.275722444481395,5.426913809222547,1.0294504508174473
48,0.2,0.04000000000000001,0.1,0.27980887191560544,6.777276059671497,1.0294504508174473
48,0.2,0.04000000000000001,0.12,0.28351576301219045,8.129093657680942,1.0294504508174473
48,0.3,0.06000000000000001,0.04,0.3172547633061212,2.512187274424627,1.0141345321293207
48,0.3,0.06000000000000001,0.06,0.3250865474741379,3.7507305707913603,1.0141345321293207
48,0.3,0.06000000000000001,0.08,0.33040787291079576,4.993438937684185,1.0141345321293207
48,0.3,0.06000000000000001,0.1,0.33474500251374084,6.240476108398251,1.0141345321293207
48,0.3,0.06000000000000001,0.12,0.33860507344201507,7.492056746517455,1.0141345321293207
48,0.5,0.10000000000000002,0.04,0.4019457084271478,2.166470890347919,0.9767823422969042
48,0.5,0.10000000000000002,0.06,0.4109397147636915,3.2323600862319894,0.9767823422969042
48,0.5,0.10000000000000002,0.08,0.41695563951619163,4.306058118254726,0.9767823422969042
48,0.5,0.10000000000000002,0.1,0.4217873719567071,5.387805880823076,0.9767823422969042
48,0.5,0.10000000000000002,0.12,0.4260297540423282,6.477932977429473,0.9767823422969042
